"State Code","County Code","Site Number","Parameter Code","POC","Latitude","Longitude","Datum","Parameter Name","Duration Description","Pollutant Standard","Year","Units of Measure","Exceptional Data Type","Observation Count","Observation Percent","Primary Exceedance Count","Secdary Exceedance Count","Valid Day Count","Required Day Count","Exceptional Data Count","Certification Indicator","Null Data Count","Half MDL Sub Count","Nonregulatory Arithmetic Mean","Arithmetic Mean","Arithmetic Standard Dev","Weighted Arithmetic Mean","Minimum Value","Nonreg First Maximum Value","Nonreg First Maximum DateTime","First Maximum Value","First Maximum DateTime","Second Maximum Value","Second Maximum DateTime","Third Maximum Value","Third Maximum DateTime","Fourth Maximum Value","Fourth Maximum DateTime","50th Perecentile","75th Perecentile","90th Perecentile","95th Perecentile","98th Perecentile","99th Perecentile","Method Count","Tribe Name","State Name","County Name","City Name","Local Site Name","Address","MSA or CBSA Name","Data Source"
"06","037","0113","62101","1","34.05111","-118.45636","WGS84","Outdoor Temperature","1 HOUR","","2025","Degrees Fahrenheit","No Events","6469","74",".",".","269","365","0","Certification not required","83","0","","63.852064","8.797588",".","44","","","92","2025-05-10 12:00","90","2025-08-21 11:00","90","2025-08-22 10:00","90","2025-08-22 11:00","64","69","76","79","83","85","1","","California","Los Angeles","West Los Angeles","West Los Angeles","VA HOSPITAL, WEST LOS ANGELES","Los Angeles-Long Beach-Anaheim, CA","AQS Data Mart"
"06","037","0113","64101","1","34.05111","-118.45636","WGS84","Barometric pressure","1 HOUR","","2025","Millibars","No Events","6475","74",".",".","269","365","0","Certification not required","77","0","","1003.276448","3.362258",".","995","","","1018","2025-01-21 03:00","1018","2025-01-21 08:00","1018","2025-01-21 09:00","1018","2025-01-21 10:00","1003","1005","1008","1010","1012","1013","1","","California","Los Angeles","West Los Angeles","West Los Angeles","VA HOSPITAL, WEST LOS ANGELES","Los Angeles-Long Beach-Anaheim, CA","AQS Data Mart"
"06","037","0113","62201","1","34.05111","-118.45636","WGS84","Relative Humidity","1 HOUR","","2025","Percent relative humidity","No Events","6469","74",".",".","269","365","0","Certification not required","83","0","","77.011439","21.72738",".","5","","","100","2025-01-01 00:00","100","2025-01-01 01:00","100","2025-01-01 02:00","100","2025-01-01 03:00","83","94","99","100","100","100","1","","California","Los Angeles","West Los Angeles","West Los Angeles","VA HOSPITAL, WEST LOS ANGELES","Los Angeles-Long Beach-Anaheim, CA","AQS Data Mart"
"06","037","0113","42601","1","34.05111","-118.45636","WGS84","Nitric oxide (NO)","1 HOUR","","2025","Parts per billion","No Events","5727","65",".",".","241","365","0","Certification not required","105","0","","1.745207","4.543782",".","-0.2","","","79.7","2025-03-21 06:00","58.3","2025-01-06 07:00","54.4","2025-03-21 05:00","49.4","2025-02-22 07:00","0.3","1.4","4.1","7.8","15.3","23.6","1","","California","Los Angeles","West Los Angeles","West Los Angeles","VA HOSPITAL, WEST LOS ANGELES","Los Angeles-Long Beach-Anaheim, CA","AQS Data Mart"
"06","037","0113","42602","1","34.05111","-118.45636","WGS84","Nitrogen dioxide (NO2)","1 HOUR","NO2 Annual 1971","2025","Parts per billion","No Events","5727","65",".",".","241","365","0","Certification not required","105","0","","8.200594","7.63167",".","0.3","","","43.9","2025-02-24 06:00","42.3","2025-03-20 06:00","42","2025-01-09 18:00","40.2","2025-02-20 22:00","5.2","11.3","20","24.7","29.8","33","1","","California","Los Angeles","West Los Angeles","West Los Angeles","VA HOSPITAL, WEST LOS ANGELES","Los Angeles-Long Beach-Anaheim, CA","AQS Data Mart"
"06","037","0113","42602","1","34.05111","-118.45636","WGS84","Nitrogen dioxide (NO2)","1 HOUR","NO2 1-hour 2010","2025","Parts per billion","No Events","5727","65","0",".","241","365","0","Certification not required","105","0","","18.4639","9.581561",".","3.1","","","43.9","2025-02-24 06:00","42.3","2025-03-20 06:00","42","2025-01-09 18:00","40.2","2025-02-20 22:00","15.3","26.1","32.2","36","38","42","1","","California","Los Angeles","West Los Angeles","West Los Angeles","VA HOSPITAL, WEST LOS ANGELES","Los Angeles-Long Beach-Anaheim, CA","AQS Data Mart"
"06","037","0113","42603","1","34.05111","-118.45636","WGS84","Oxides of nitrogen (NOx)","1 HOUR","","2025","Parts per billion","No Events","5727","65",".",".","241","365","0","Certification not required","105","0","","9.984337","10.936989",".","0.5","","","111.9","2025-03-21 06:00","91.4","2025-01-06 07:00","84.2","2025-03-21 05:00","83.1","2025-04-10 06:00","5.8","13","23.6","31.8","43.6","52.3","1","","California","Los Angeles","West Los Angeles","West Los Angeles","VA HOSPITAL, WEST LOS ANGELES","Los Angeles-Long Beach-Anaheim, CA","AQS Data Mart"
"06","037","0113","44201","1","34.05111","-118.45636","WGS84","Ozone","1 HOUR","Ozone 1-hour 1979","2025","Parts per million","No Events","5777","65","0","0","237","365","0","Certification not required","55","0","","0.047068","0.008866",".","0.026","","","0.086","2025-05-10 15:00","0.078","2025-04-09 14:00","0.075","2025-04-11 17:00","0.075","2025-05-11 11:00","0.046","0.051","0.059","0.064","0.074","0.075","1","","California","Los Angeles","West Los Angeles","West Los Angeles","VA HOSPITAL, WEST LOS ANGELES","Los Angeles-Long Beach-Anaheim, CA","AQS Data Mart"
"06","037","0113","44201","1","34.05111","-118.45636","WGS84","Ozone","8-HR RUN AVG BEGIN HOUR","Ozone 8-hour 2015","2025","Parts per million","No Events","4085","65","0","0","239","365","0","Certification not required","0","0","","0.04128","0.007067",".","0.021","","","0.07","2025-05-10 10:00","0.063","2025-08-21 10:00","0.061","2025-04-09 11:00","0.059","2025-06-01 09:00","0.041","0.046","0.05","0.054","0.058","0.061","1","","California","Los Angeles","West Los Angeles","West Los Angeles","VA HOSPITAL, WEST LOS ANGELES","Los Angeles-Long Beach-Anaheim, CA","AQS Data Mart"
"06","037","0113","61101","1","34.05111","-118.45636","WGS84","Wind Speed - Scalar","1 HOUR","","2025","Knots","No Events","6469","74",".",".","269","365","0","Certification not required","83","0","","2.064183","1.296596",".","0","","","11.2","2025-03-02 13:00","10.8","2025-03-13 11:00","10.5","2025-03-02 14:00","10.3","2025-03-13 13:00","1.7","2.8","3.9","4.5","5.3","5.8","1","","California","Los Angeles","West Los Angeles","West Los Angeles","VA HOSPITAL, WEST LOS ANGELES","Los Angeles-Long Beach-Anaheim, CA","AQS Data Mart"
