date,site,concentration,abs,soil_g_dry,extractant_ml
10/21/25,standard,5,0.9838,0,
10/21/25,standard,2.5,0.6553,0,
10/21/25,standard,1,0.3288,0,
10/21/25,standard,0.5,0.1936,0,
10/21/25,standard,0.1,0.0708,0,
10/21/25,standard,0.05,0.0618,0,
10/21/25,standard,0.02,0.0504,0,
10/21/25,blank,0,0.0458,0,
10/21/25,blank,0,0.0444,0,
10/21/25,blank,0,0.0443,0,
10/21/25,blank,0,0.0477,0,
10/21/25,blank,0,0.0439,0,
10/21/25,blank,0,0.0446,0,
10/21/25,blank,0,0.0479,0,
10/21/25,blank,0,0.0447,0,
10/21/25,blank,0,0.0471,0,
10/21/25,Franklin,,0.0452,1.6946,15
10/21/25,Franklin,,0.0451,1.6946,15
10/21/25,Franklin,,0.0453,1.6946,15
10/21/25,Franklin,,0.0454,1.6946,15
10/21/25,Franklin,,0.0456,1.6946,15
10/21/25,Franklin,,0.0471,1.6946,15
10/21/25,Franklin,,0.0474,1.6946,15
10/21/25,Franklin,,0.0496,1.6946,15
10/21/25,Fryman,,0.0454,1.7256,15
10/21/25,Fryman,,0.0455,1.7256,15
10/21/25,Fryman,,0.0453,1.7256,15
10/21/25,Fryman,,0.0457,1.7256,15
10/21/25,Fryman,,0.0455,1.7256,15
10/21/25,Fryman,,0.0473,1.7256,15
10/21/25,Fryman,,0.0486,1.7256,15
10/21/25,Fryman,,0.0459,1.7256,15
10/21/25,westridge,,1.7242,1.744,15
10/21/25,westridge,,1.7232,1.744,15
10/21/25,westridge,,1.9343,1.744,15
10/21/25,westridge,,1.8173,1.744,15
10/21/25,westridge,,1.9762,1.744,15
10/21/25,westridge,,2.0484,1.744,15
10/21/25,westridge,,1.8524,1.744,15
10/21/25,westridge,,1.8066,1.744,15
10/21/25,Elyria,,0.7246,1.7692,15
10/21/25,Elyria,,0.4648,1.7692,15
10/21/25,Elyria,,0.4663,1.7692,15
10/21/25,Elyria,,0.4863,1.7692,15
10/21/25,Elyria,,1.2581,1.7692,15
10/21/25,Elyria,,0.8528,1.7692,15
10/21/25,Elyria,,0.4579,1.7692,15
10/21/25,Elyria,,0.5075,1.7692,15
10/21/25,Ballona,,0.8151,1.6054,15
10/21/25,Ballona,,1.144,1.6054,15
10/21/25,Ballona,,1.2386,1.6054,15
10/21/25,Ballona,,1.2489,1.6054,15
10/21/25,Ballona,,1.6994,1.6054,15
10/21/25,Ballona,,1.24,1.6054,15
10/21/25,Ballona,,1.4229,1.6054,15
10/21/25,Ballona,,0.5648,1.6054,15
10/21/25,BigRock,,1.719,1.725,15
10/21/25,BigRock,,1.367,1.725,15
10/21/25,BigRock,,1.653,1.725,15
10/21/25,BigRock,,1.8505,1.725,15
10/21/25,BigRock,,1.6074,1.725,15
10/21/25,BigRock,,2.03,1.725,15
10/21/25,BigRock,,1.7218,1.725,15
10/21/25,BigRock,,1.6544,1.725,15
10/21/25,Arroyo,,0.8758,1.6129,15
10/21/25,Arroyo,,0.8737,1.6129,15
10/21/25,Arroyo,,0.6586,1.6129,15
10/21/25,Arroyo,,1.3505,1.6129,15
10/21/25,Arroyo,,0.9068,1.6129,15
10/21/25,Arroyo,,1.2222,1.6129,15
10/21/25,Arroyo,,1.126,1.6129,15
10/21/25,Arroyo,,1.2131,1.6129,15
10/21/25,Hills,,0.5552,1.6307,15
10/21/25,Hills,,1.2562,1.6307,15
10/21/25,Hills,,0.7164,1.6307,15
10/21/25,Hills,,1.2237,1.6307,15
10/21/25,Hills,,0.6226,1.6307,15
10/21/25,Hills,,0.8404,1.6307,15
10/21/25,Hills,,0.6784,1.6307,15
10/21/25,Hills,,0.6072,1.6307,15
10/21/25,Harmon,,1.0116,1.7068,15
10/21/25,Harmon,,1.2957,1.7068,15
