"date","site","concentration","abs","soil_g_dry","extractant_ml","mgNH4_L","mgNH4_kg_soil"
"10/21/25","Franklin",NA,0.0452,NA,15,-0.0702294101924719,NA
"10/21/25","Franklin",NA,0.0451,NA,15,-0.0707308311366523,NA
"10/21/25","Franklin",NA,0.0453,NA,15,-0.0697279892482915,NA
"10/21/25","Franklin",NA,0.0454,NA,15,-0.0692265683041111,NA
"10/21/25","Franklin",NA,0.0456,NA,15,-0.0682237264157503,NA
"10/21/25","Franklin",NA,0.0471,NA,15,-0.0607024122530441,NA
"10/21/25","Franklin",NA,0.0474,NA,15,-0.059198149420503,NA
"10/21/25","Franklin",NA,0.0496,NA,15,-0.048166888648534,NA
"10/21/25","Fryman",NA,0.0454,NA,15,-0.0692265683041111,NA
"10/21/25","Fryman",NA,0.0455,NA,15,-0.0687251473599307,NA
"10/21/25","Fryman",NA,0.0453,NA,15,-0.0697279892482915,NA
"10/21/25","Fryman",NA,0.0457,NA,15,-0.0677223054715699,NA
"10/21/25","Fryman",NA,0.0455,NA,15,-0.0687251473599307,NA
"10/21/25","Fryman",NA,0.0473,NA,15,-0.0596995703646833,NA
"10/21/25","Fryman",NA,0.0486,NA,15,-0.0531810980903381,NA
"10/21/25","Fryman",NA,0.0459,NA,15,-0.066719463583209,NA
"10/21/25","westridge",NA,1.7242,1.744,15,8.34862824259655,71.805862178296
"10/21/25","westridge",NA,1.7232,1.744,15,8.34361403315475,71.7627353769044
"10/21/25","westridge",NA,1.9343,1.744,15,9.40211364631959,80.8668031506845
"10/21/25","westridge",NA,1.8173,1.744,15,8.81545114162851,75.8209673878599
"10/21/25","westridge",NA,1.9762,1.744,15,9.61220902193118,82.6738161289952
"10/21/25","westridge",NA,2.0484,1.744,15,9.97423494362943,85.7875711894733
"10/21/25","westridge",NA,1.8524,1.744,15,8.99144989303584,77.3347181167073
"10/21/25","westridge",NA,1.8066,1.744,15,8.76179910060121,75.3595106129691
"10/21/25","Elyria",NA,0.7246,1.7692,15,3.33642448456921,28.2875691095061
"10/21/25","Elyria",NA,0.4648,1.7692,15,2.03373287158851,17.2428176994278
"10/21/25","Elyria",NA,0.4663,1.7692,15,2.04125418575122,17.3065864720033
"10/21/25","Elyria",NA,0.4863,1.7692,15,2.1415383745873,18.1568367730101
"10/21/25","Elyria",NA,1.2581,1.7692,15,6.01150522177168,50.9679958888623
"10/21/25","Elyria",NA,0.8528,1.7692,15,3.97924613500849,33.7376735389596
"10/21/25","Elyria",NA,0.4579,1.7692,15,1.99913482644007,16.9494813455805
"10/21/25","Elyria",NA,0.5075,1.7692,15,2.24783961475355,19.0581020920773
"10/21/25","Ballona",NA,0.8151,1.6054,15,3.79021043905248,35.4137016231389
"10/21/25","Ballona",NA,1.144,1.6054,15,5.43938392446184,50.8226976871356
"10/21/25","Ballona",NA,1.2386,1.6054,15,5.9137281376565,55.2547166219307
"10/21/25","Ballona",NA,1.2489,1.6054,15,5.96537449490708,55.7372725947466
"10/21/25","Ballona",NA,1.6994,1.6054,15,8.22427584843981,76.8432401436385
"10/21/25","Ballona",NA,1.24,1.6054,15,5.92074803087503,55.3203067541581
"10/21/25","Ballona",NA,1.4229,1.6054,15,6.83784693778099,63.8891890287248
"10/21/25","Ballona",NA,0.5648,1.6054,15,2.53515381576892,23.6871229827668
"10/21/25","BigRock",NA,1.719,1.725,15,8.32255435349918,72.3700378565146
"10/21/25","BigRock",NA,1.367,1.725,15,6.55755262998414,57.0221967824708
"10/21/25","BigRock",NA,1.653,1.725,15,7.99161653034011,69.4923176551313
"10/21/25","BigRock",NA,1.8505,1.725,15,8.98192289509641,78.1036773486644
"10/21/25","BigRock",NA,1.6074,1.725,15,7.76296857979384,67.504074606903
"10/21/25","BigRock",NA,2.03,1.725,15,9.88197348990024,85.9302042600021
"10/21/25","BigRock",NA,1.7218,1.725,15,8.33659413993623,72.4921229559672
"10/21/25","BigRock",NA,1.6544,1.725,15,7.99863642355863,69.5533602048577
"10/21/25","Arroyo",NA,0.8758,1.6129,15,4.09457295216999,38.0796046143901
"10/21/25","Arroyo",NA,0.8737,1.6129,15,4.0840431123422,37.9816769081363
"10/21/25","Arroyo",NA,0.6586,1.6129,15,3.00548666141014,27.951081853278
"10/21/25","Arroyo",NA,1.3505,1.6129,15,6.47481817419438,60.2159294518666
"10/21/25","Arroyo",NA,0.9068,1.6129,15,4.25001344486591,39.5252040876612
"10/21/25","Arroyo",NA,1.2222,1.6129,15,5.83149510281091,54.2330129221673
"10/21/25","Arroyo",NA,1.126,1.6129,15,5.34912815450936,49.7469913309197
"10/21/25","Arroyo",NA,1.2131,1.6129,15,5.7858657968905,53.8086595284007
"10/21/25","Hills",NA,0.5552,1.6307,15,2.4870174051276,22.8768388280579
"10/21/25","Hills",NA,1.2562,1.6307,15,6.00197822383225,55.2092189596393
"10/21/25","Hills",NA,0.7164,1.6307,15,3.29530796714642,30.311902561597
"10/21/25","Hills",NA,1.2237,1.6307,15,5.83901641697362,53.7102141746516
"10/21/25","Hills",NA,0.6226,1.6307,15,2.8249751215052,25.9855441360017
"10/21/25","Hills",NA,0.8404,1.6307,15,3.91706993793012,36.0311823566271
"10/21/25","Hills",NA,0.6784,1.6307,15,3.10476800835786,28.5592200437652
"10/21/25","Hills",NA,0.6072,1.6307,15,2.74775629610141,25.2752464840383
"10/21/25","Harmon",NA,1.0116,1.7068,15,4.77550259436698,41.9689119495575
"10/21/25","Harmon",NA,1.2957,1.7068,15,6.20003949678351,54.4882777430002
"10/21/25","Harmon",NA,1.1833,1.7068,15,5.63644235552474,49.5351742048694
"10/21/25","Harmon",NA,1.3453,1.7068,15,6.448744285097,56.6739889128515
"10/21/25","Harmon",NA,1.5388,1.7068,15,7.41899381208608,65.200906480719
"10/21/25","Harmon",NA,1.9151,1.7068,15,9.30584082503695,81.7832273116676
"10/21/25","Harmon",NA,1.1693,1.7068,15,5.56624342333948,48.9182396004759
