"State Code","County Code","Site Number","Parameter Code","POC","Latitude","Longitude","Datum","Parameter Name","Duration Description","Pollutant Standard","Year","Units of Measure","Exceptional Data Type","Observation Count","Observation Percent","Primary Exceedance Count","Secdary Exceedance Count","Valid Day Count","Required Day Count","Exceptional Data Count","Certification Indicator","Null Data Count","Half MDL Sub Count","Nonregulatory Arithmetic Mean","Arithmetic Mean","Arithmetic Standard Dev","Weighted Arithmetic Mean","Minimum Value","Nonreg First Maximum Value","Nonreg First Maximum DateTime","First Maximum Value","First Maximum DateTime","Second Maximum Value","Second Maximum DateTime","Third Maximum Value","Third Maximum DateTime","Fourth Maximum Value","Fourth Maximum DateTime","50th Perecentile","75th Perecentile","90th Perecentile","95th Perecentile","98th Perecentile","99th Perecentile","Method Count","Tribe Name","State Name","County Name","City Name","Local Site Name","Address","MSA or CBSA Name","Data Source"
"06","111","3001","88101","3","34.25239","-119.143182","NAD83","PM2.5 - Local Conditions","1 HOUR","","2025","Micrograms/cubic meter (LC)","No Events","6444","74",".",".","271","365","0","Certification not required","108","0","","6.966946","7.387355",".","-5","","","305","2025-01-22 15:00","269","2025-01-22 14:00","211","2025-01-22 16:00","145","2025-09-14 22:00","7","9","12","14","16","18","1","","California","Ventura","","El Rio-Rio Mesa School #2","545 CENTRAL AVENUE, OXNARD, CA  93030","Oxnard-Thousand Oaks-Ventura, CA","AQS Data Mart"
"06","111","3001","88101","3","34.25239","-119.143182","NAD83","PM2.5 - Local Conditions","24-HR BLK AVG","PM25 24-hour 2012","2025","Micrograms/cubic meter (LC)","No Events","268","73","1","1","268","365","0","Certification not required","0","0","","6.917164","3.896104","6.88968355615474","-0.5","","","45.3","2025-01-22 00:00","15.3","2025-08-05 00:00","14.9","2025-06-16 00:00","14.7","2025-05-22 00:00","6.7","8.6","10.9","13","14.3","14.9","1","","California","Ventura","","El Rio-Rio Mesa School #2","545 CENTRAL AVENUE, OXNARD, CA  93030","Oxnard-Thousand Oaks-Ventura, CA","AQS Data Mart"
"06","111","3001","88101","3","34.25239","-119.143182","NAD83","PM2.5 - Local Conditions","24-HR BLK AVG","PM25 Annual 2012","2025","Micrograms/cubic meter (LC)","No Events","268","73",".",".","268","365","0","Certification not required","0","0","","6.917164","3.896104","6.88968355615474","-0.5","","","45.3","2025-01-22 00:00","15.3","2025-08-05 00:00","14.9","2025-06-16 00:00","14.7","2025-05-22 00:00","6.7","8.6","10.9","13","14.3","14.9","1","","California","Ventura","","El Rio-Rio Mesa School #2","545 CENTRAL AVENUE, OXNARD, CA  93030","Oxnard-Thousand Oaks-Ventura, CA","AQS Data Mart"
"06","111","3001","81102","3","34.25239","-119.143182","NAD83","PM10 Total 0-10um STP","1 HOUR","","2025","Micrograms/cubic meter (25 C)","No Events","6454","74",".",".","269","365","0","Certification not required","98","0","","22.343043","24.48185",".","-4","","","985","2025-08-06 07:00","507","2025-01-22 15:00","469","2025-09-14 22:00","447","2025-01-22 14:00","19","27","37","45","62","81","1","","California","Ventura","","El Rio-Rio Mesa School #2","545 CENTRAL AVENUE, OXNARD, CA  93030","Oxnard-Thousand Oaks-Ventura, CA","AQS Data Mart"
"06","111","3001","81102","3","34.25239","-119.143182","NAD83","PM10 Total 0-10um STP","24-HR BLK AVG","PM10 24-hour 2006","2025","Micrograms/cubic meter (25 C)","No Events","269","74","0","0","269","365","0","Certification not required","0","0","","21.866171","12.439583","21.8402972995996","0","","","108","2025-01-22 00:00","86","2025-01-08 00:00","80","2025-08-06 00:00","62","2025-01-13 00:00","20","26","33","42","57","80","1","","California","Ventura","","El Rio-Rio Mesa School #2","545 CENTRAL AVENUE, OXNARD, CA  93030","Oxnard-Thousand Oaks-Ventura, CA","AQS Data Mart"
"06","111","3001","65102","1","34.25239","-119.143182","NAD83","Rain/melt precipitation","1 HOUR","","2025","Inches (rainfall)","No Events","6545","75",".",".","273","365","0","Certification not required","7","0","","0.000764","0.009439",".","0","","","0.38","2025-03-12 23:00","0.34","2025-02-06 18:00","0.21","2025-02-13 15:00","0.19","2025-02-06 17:00","0","0","0","0","0","0.02","1","","California","Ventura","","El Rio-Rio Mesa School #2","545 CENTRAL AVENUE, OXNARD, CA  93030","Oxnard-Thousand Oaks-Ventura, CA","AQS Data Mart"
"06","111","3001","85101","3","34.25239","-119.143182","NAD83","PM10 - LC","1 HOUR","","2025","Micrograms/cubic meter (LC)","No Events","6454","74",".",".","269","365","0","Certification not required","98","0","","22.478618","24.902147",".","-4","","","1002","2025-08-06 07:00","510","2025-01-22 15:00","480","2025-09-14 22:00","450","2025-01-22 14:00","19","27","38","46","63","82","1","","California","Ventura","","El Rio-Rio Mesa School #2","545 CENTRAL AVENUE, OXNARD, CA  93030","Oxnard-Thousand Oaks-Ventura, CA","AQS Data Mart"
"06","111","3001","42602","1","34.25239","-119.143182","NAD83","Nitrogen dioxide (NO2)","1 HOUR","NO2 Annual 1971","2025","Parts per billion","No Events","6272","72",".",".","273","365","0","Certification not required","280","0","","3.048151","2.677578",".","0","","","29","2025-02-21 06:00","27","2025-02-21 05:00","25","2025-02-27 06:00","25","2025-02-27 07:00","2","4","6","8","11","12","1","","California","Ventura","","El Rio-Rio Mesa School #2","545 CENTRAL AVENUE, OXNARD, CA  93030","Oxnard-Thousand Oaks-Ventura, CA","AQS Data Mart"
"06","111","3001","42602","1","34.25239","-119.143182","NAD83","Nitrogen dioxide (NO2)","1 HOUR","NO2 1-hour 2010","2025","Parts per billion","No Events","6272","72","0",".","273","365","0","Certification not required","280","0","","7.717949","4.195271",".","2","","","29","2025-02-21 06:00","25","2025-02-27 06:00","24","2025-01-22 15:00","23","2025-01-02 17:00","7","10","13","16","18","24","1","","California","Ventura","","El Rio-Rio Mesa School #2","545 CENTRAL AVENUE, OXNARD, CA  93030","Oxnard-Thousand Oaks-Ventura, CA","AQS Data Mart"
"06","111","3001","61101","1","34.25239","-119.143182","NAD83","Wind Speed - Scalar","1 HOUR","","2025","Knots","No Events","6543","75",".",".","273","365","0","Certification not required","9","0","","4.69974","3.055975",".","0.2","","","23.3","2025-01-08 02:00","21.9","2025-01-08 10:00","21.2","2025-01-08 09:00","21.2","2025-01-20 12:00","4.1","6.6","8.4","9.7","12.8","15.5","1","","California","Ventura","","El Rio-Rio Mesa School #2","545 CENTRAL AVENUE, OXNARD, CA  93030","Oxnard-Thousand Oaks-Ventura, CA","AQS Data Mart"
